" ","wave","lpm1","scps","grts","hip","srswor","wave","lpm1","scps","grts","hip","srswor"
"$v_{SIM}$",1.23234141048889,1.38701469115556,1.30899388805556,1.51721097873333,1.31521194452222,1.77398054221111,0.249977052348615,0.286526212376466,0.259815669351098,0.329592226593517,0,0.361384206987743
"$v_{SB}$",1.84720042618889,1.67024970232222,1.63538940062778,1.59638490388889,1.70144962976111,1.45453610915,0.393247202169449,0.362214923285412,0.37109733518708,0.333256096377202,0,0.321462238782691
"$v_{LM2}$",0.962077771866765,0.889278536579338,0.888601383618657,0.855025044499081,0.929843960960042,0.786002444208385,0.223797304143219,0.206071536459926,0.209338177789001,0.19357045725054,0,0.182979524171493
"$v_{LM3}$",1.30114822704292,1.25588566114784,1.26128156232245,1.22956611809879,1.30832294610886,1.14650728611765,0.292609717013683,0.279190499064117,0.282378997439352,0.268759511604909,0,0.258805396106936
"$v_{LM4}$",1.46342810661928,1.44548225893078,1.45179546296991,1.42984816947906,1.48736797651882,1.35240438761417,0.325098165365314,0.314634429900983,0.318607914431563,0.306085894919354,0,0.299231097876297
"$v_{HAJ}$",1.80840945968889,1.82412565368889,1.82860380208889,1.8258453284,1.85399662542222,1.78446964217778,0.375239639427128,0.370018440803582,0.372711865731202,0.368844298404785,0,0.36544441147709
"$v_{SIM}$",0.532822640113889,0.525475598866667,0.537771249766667,0.586339386436111,0.463344662788889,0.805477816811111,0.116398216143364,0.109213935066744,0.0957920992353936,0.114941642403289,0,0.150284288262395
"$v_{SB}$",0.691668960105556,0.686726526427778,0.670281488672222,0.657093590906945,0.639336798829167,0.633809584638889,0.154040478963796,0.152912000485917,0.152155894404885,0.15034034644159,0,0.142549899296045
"$v_{LM2}$",0.382128495470432,0.373414361713716,0.370108891046951,0.361919232230124,0.356403429528863,0.347877704460622,0.0939780863664454,0.0902742923567849,0.0895639774441146,0.0886686656540788,0,0.0819074194896093
"$v_{LM3}$",0.554519306340141,0.543025555984167,0.542650172810173,0.533513515646705,0.534346260554154,0.512471301719382,0.130314166655796,0.127342282464968,0.12705362598809,0.126175598648242,0,0.11831032962012
"$v_{LM4}$",0.653719821466435,0.649279028480309,0.649353457690245,0.640678387020293,0.652492595623812,0.616146661547379,0.149500562342891,0.148304260898407,0.148058647100659,0.147134765479213,0,0.139553565505885
"$v_{HAJ}$",0.808267086194923,0.804961813563218,0.806396509597701,0.808148927497605,0.814098175727969,0.807545142145594,0.153470142085193,0.154104167733709,0.154512950468528,0.153660189909153,0,0.152626168478146
"$v_{SIM}$",0.249837184193,0.249588486383,0.221670066896,0.284229452751,0.199993149217,0.413346545561,0.0515014706173028,0.048567843826295,0.0394879928197898,0.0494679213280327,0,0.0653014729793643
"$v_{SB}$",0.380089766045,0.374535762645,0.3853755259955,0.353042045294,0.336901112358,0.3443598903135,0.0805284567762186,0.0784156505795374,0.0801655894100457,0.0799380203076521,0,0.0798094629928999
"$v_{LM2}$",0.214124161494615,0.208161610116926,0.212715317527442,0.195890901924795,0.19049801818884,0.189796904815959,0.0495619521912991,0.0479806673282431,0.0485247274787025,0.0478598865123255,0,0.0450147974805075
"$v_{LM3}$",0.308111551501487,0.294400537658467,0.297642285440833,0.283582212329804,0.279893472426009,0.275684057283727,0.0682843198784913,0.0683131675492781,0.0690020422049905,0.0682062406530401,0,0.0654911015039778
"$v_{LM4}$",0.358497102644531,0.349115760661822,0.351372126481166,0.339503813946222,0.337121732084275,0.329642678591353,0.0792070613494675,0.0801406392414028,0.0811014705109808,0.0805701617243636,0,0.0778469892727279
"$v_{HAJ}$",0.406417480083,0.407087140533,0.407404542850286,0.403575339792429,0.405252574252714,0.403371611999571,0.0654862841650348,0.0655978273777854,0.0658326717855244,0.0656735001929091,0,0.0655026358447832
